	bayesian:non-Anaerobe:prob	bayesian:non-Anaerobe:label	Davin:non-Anaerobe:prob	Davin:non-Anaerobe:label	microtraits:non-Anaerobe:prob	microtraits:non-Anaerobe:label	Traitar:non-Anaerobe:prob	Traitar:non-Anaerobe:label	bacdivAI:non-Anaerobe:prob	bacdivAI:non-Anaerobe:label	top40:non-Anaerobe:prob	top40:non-Anaerobe:label
Chlo8	0.9999999995556844	1	0.8361208438873291	1	NA	1	NA	1	64.61	1	0.5600346024924682	1
Chlo9	1.5400866144869742e-09	0	1.6490910184074892e-06	0	NA	0	NA	0	15.730000000000004	0	0.088408383932495	0
Chry1	3.2448707890185693e-08	0	1.22624087453e-05	0	NA	0	NA	1	7.980000000000004	0	0.0065753368436384	0
Cloa1	1.5765588668746926e-20	0	1.1601459846133366e-06	0	NA	0	NA	0	3.280000000000001	0	0.001151352481655	0
Cyan1	1.1609946231833604e-14	0	1.51366093632e-05	0	NA	0	NA	1	9.700000000000005	0	0.0402267523901523	0
Cyan10	0.9999999919184832	1	0.9998313188552856	1	NA	1	NA	0	69.96	1	0.9261221108118828	1
Cyan11	0.9999991200052856	1	0.9871883392333984	1	NA	1	NA	1	47.22	1	0.5586518664468662	1
Cyan12	0.0384824879004588	0	0.6383309364318848	1	NA	0	NA	1	38.9	0	0.8150815529803219	1
Cyan13	7.62608294705233e-05	0	0.7204042673110962	1	NA	0	NA	1	22.849999999999994	0	0.6339485020175698	1
Cyan14	0.999999999425006	1	0.9978502988815308	1	NA	1	NA	1	49.76	1	0.8023271608490864	1
Cyan15	0.9999999859232632	1	0.999165654182434	1	NA	0	NA	1	54.85	1	0.6501595073276734	1
Cyan16	0.9999714038318984	1	0.9998737573623656	1	NA	1	NA	1	66.33	1	0.929578827009216	1
Cyan18	0.0424686095461154	0	0.6773970127105713	1	NA	0	NA	1	34.739999999999995	0	0.5625328342562685	1
Cyan19	0.999998112925056	1	0.9976454377174376	1	NA	1	NA	1	47.17	1	0.7110455455821671	1
Cyan2	0.9999997621950768	1	0.7049896717071533	1	NA	1	NA	1	54.7	1	0.3871175413031598	0
Cyan20	0.9999999954454984	1	0.9991784691810608	1	NA	1	NA	1	65.14	1	0.6636277365294563	1
Cyan21	0.9999999999743368	1	0.9999394416809082	1	NA	1	NA	1	54.99	1	0.8465271773861168	1
Cyan22	0.999999999977332	1	0.999929904937744	1	NA	1	NA	1	52.56	1	0.5671605905363903	1
Cyan23	0.999999999947078	1	0.9998341798782348	1	NA	1	NA	1	52.89	1	0.7317666521134202	1
Cyan24	0.999999994736798	1	0.9986409544944764	1	NA	1	NA	1	63.67	1	0.7587753772492272	1
Cyan25	0.9999999975753516	1	0.9989907145500184	1	NA	1	NA	1	50.11	1	0.4511124514376725	0
Cyan26	0.9999999999070464	1	0.9993494153022766	1	NA	1	NA	1	57.66	1	0.7832959303564737	1
Cyan27	0.9999999787814272	1	0.9766586422920228	1	NA	1	NA	1	48.95	1	0.5796573387839721	1
Cyan28	0.9999999708002272	1	0.9997616410255432	1	NA	1	NA	1	54.27	1	0.6972662087273319	1
Cyan29	0.9999999998727972	1	0.9998430013656616	1	NA	1	NA	1	65.41	1	0.8207637648129573	1
Cyan3	0.9999999999993372	1	0.9999622106552124	1	NA	1	NA	1	58.83	1	0.951149546332338	1
Cyan30	0.9999999925217736	1	0.9975033402442932	1	NA	1	NA	1	57.27	1	0.7444918208577317	1
Cyan31	0.9999999998985692	1	0.9999563694000244	1	NA	1	NA	1	56.81	1	0.8288993428157703	1
Cyan32	0.9999999993847496	1	0.9988881945610046	1	NA	1	NA	1	58.01	1	0.8339359601130458	1
Cyan33	0.9999999997044624	1	0.9999682903289796	1	NA	1	NA	1	65.55	1	0.9644705454744922	1
Cyan34	0.9999999779697676	1	0.9994751811027528	1	NA	1	NA	1	50.27	1	0.9348105275301528	1
Cyan35	0.9999999960948508	1	0.999806821346283	1	NA	1	NA	1	65.15	1	0.8493383164339052	1
Cyan36	0.9999999994941082	1	0.9989516735076904	1	NA	1	NA	1	53.39	1	0.6927106080991958	1
Cyan37	0.9999999994648096	1	0.9982748031616212	1	NA	1	NA	1	60.93	1	0.7672242698453932	1
Cyan38	0.9999977995821652	1	0.9961646795272828	1	NA	1	NA	1	50.52	1	0.5624748936075071	1
Cyan4	1.5377187943002302e-17	0	0.0006125149084255	0	NA	0	NA	1	4.540000000000006	0	0.0240513078576077	0
Cyan40	0.9999999970438151	1	0.9938894510269164	1	NA	1	NA	0	58.2	1	0.7022539119347667	1
Cyan41	0.9999999999534136	1	0.9994879961013794	1	NA	1	NA	1	48.89	1	0.8736614882299837	1
Cyan42	0.9999999353110162	1	0.99937903881073	1	NA	1	NA	1	53.7	1	0.5178225535857238	1
Cyan43	0.999138183976227	1	0.999363124370575	1	NA	1	NA	1	43.9	1	0.7368996173122219	1
Cyan44	0.9999999991372026	1	0.9998500347137452	1	NA	1	NA	1	46.31	1	0.7240011822327009	1
Cyan45	0.9999999999649716	1	0.9992689490318298	1	NA	1	NA	1	56.96	1	0.723289787358883	1
Cyan46	0.9999999999683642	1	0.9996898174285888	1	NA	1	NA	1	51.85	1	0.9289919748858452	1
Cyan47	0.9999999999844998	1	0.999847650527954	1	NA	1	NA	1	49.41	1	0.7240011822327009	1
Cyan7	0.999999954165064	1	0.9960997104644777	1	NA	0	NA	1	66.62	1	0.8016187080754674	1
Cyan8	0.8047242144240792	1	0.9948074221611024	1	NA	0	NA	1	57.49	1	0.4272696104897887	0
Cyan9	5.761585078801186e-20	0	0.0010109406430274	0	NA	0	NA	1	2.6899999999999977	0	0.013726430616265	0
DTU0X1	7.370307475398353e-26	0	1.473169248811246e-07	0	NA	0	NA	0	2.7900000000000063	0	0.0062517594983471	0
Defe1	3.1029016302280513e-08	0	1.3217351124694687e-06	0	NA	0	NA	0	2.9599999999999937	0	0.0098094227939386	0
Defe2	3.879513045783425e-16	0	2.684663797936082e-07	0	NA	0	NA	0	3.700000000000003	0	0.0070307714266018	0
Defe3	1.2225786478422754e-17	0	2.308261173311621e-07	0	NA	0	NA	0	7.510000000000005	0	0.0079912081872429	0
Dein1	0.996797876605091	1	0.9602269530296326	1	NA	0	NA	0	36.32	1	0.1260515022322043	0
Dein2	0.9999999999881256	1	0.9990168809890748	1	NA	1	NA	1	88.73	1	0.9793660815286318	1
Dein3	0.9999999999957482	1	0.9985887408256532	1	NA	0	NA	0	84.49	1	0.9861091537693673	1
Dein4	0.999999999998394	1	0.9995856881141664	1	NA	0	NA	1	89.97	1	0.9307620444062704	1
Dein5	0.9996364663198204	1	0.9993953704833984	1	NA	1	NA	1	69.37	1	0.8771643911541447	1
Dein6	0.9999999998229429	1	0.9991821646690368	1	NA	0	NA	0	89.78	1	0.9615162719409212	1
Dein7	0.9999976345506604	1	0.9960467219352722	1	NA	0	NA	0	73.34	1	0.7903045236869203	1
Desa1	2.251240908150143e-17	0	1.8164892026106827e-06	0	NA	0	NA	1	6.530000000000001	0	0.0426432134880692	0
DesuB1	0.9999999999989292	1	0.9317309856414796	1	NA	1	NA	1	63.87	1	0.4360623246392532	0
DesuB2	0.9999999320646088	1	0.9690222144126892	1	NA	1	NA	1	71.03	1	0.396162158100779	0
DesuB3	0.9999999980534622	1	0.8124485015869141	1	NA	1	NA	1	58.53	1	0.3677483561184435	0
DesuB4	0.999999999880032	1	0.8650944232940674	1	NA	1	NA	1	60.33	1	0.4109997101627393	0
DesuC1	1.1326216026521624e-12	0	1.7774809748516418e-06	0	NA	0	NA	1	5.540000000000006	0	0.0032988534606002	0
DesuC2	2.58513067699286e-09	0	1.987006754688992e-07	0	NA	0	NA	1	6.650000000000006	0	0.0036481787101241	0
DesuD1	0.9999999998302982	1	0.8580511212348938	1	NA	1	NA	1	65.27	1	0.4279013192437492	0
DesuD2	0.999999971794202	1	0.982654869556427	1	NA	1	NA	1	70.26	1	0.4480815768050289	0
Desua1	8.305183667972304e-18	0	1.733789218860693e-07	0	NA	0	NA	0	2.1500000000000057	0	0.0070932428482118	0
Desua10	1.483928486532809e-09	0	3.0462473432635306e-08	0	NA	0	NA	0	10.019999999999996	0	0.0062340433754739	0
Desua11	2.103273918431652e-10	0	1.902521233887456e-07	0	NA	0	NA	0	9.97	0	0.0051227835980653	0
Desua12	3.13443850787556e-06	0	7.15953092367272e-08	0	NA	1	NA	0	7.359999999999999	0	0.0166738322131947	0
Desua13	1.0343537326457284e-09	0	5.003728631436388e-08	0	NA	0	NA	0	9.959999999999994	0	0.0051227835980653	0
Desua14	3.1705436120055225e-12	0	1.028423142201973e-07	0	NA	0	NA	0	2.4000000000000057	0	0.0100474817748632	0
Desua15	1.5904077324635915e-08	0	2.71329063252e-05	0	NA	0	NA	0	15.519999999999996	0	0.0170679274659603	0
Desua16	8.067557780534334e-09	0	0.0001433730212738	0	NA	0	NA	1	11.409999999999997	0	0.0268341827272611	0
Desua17	0.0002263721916537	0	0.0001118050131481	0	NA	0	NA	0	10.519999999999996	0	0.0488283434239553	0
Desua18	9.844002538286678e-09	0	6.77140487823e-05	0	NA	0	NA	0	12.400000000000006	0	0.0400620847703792	0
Desua19	9.96423147331982e-16	0	2.0392564081817e-08	0	NA	1	NA	1	26.39	0	0.0272048980896227	0
Desua2	7.507519358359936e-10	0	3.307112024231174e-07	0	NA	0	NA	1	9.75	0	0.0067387948107075	0
Desua20	1.476113270695063e-15	0	2.47331087166458e-07	0	NA	0	NA	0	8.040000000000006	0	0.0023726943914133	0
Desua21	2.3986327366609557e-10	0	4.693898972618626e-06	0	NA	0	NA	0	4.930000000000007	0	0.0184650786309542	0
Desua22	1.9640873216704924e-10	0	1.2635465509447386e-06	0	NA	0	NA	0	14.489999999999997	0	0.0049152514891316	0
Desua23	1.5751684401360378e-08	0	1.399085249431664e-06	0	NA	0	NA	0	9.040000000000006	0	0.0117126156539216	0
Desua24	2.7390807736695245e-10	0	4.20819087594e-05	0	NA	0	NA	0	16.379999999999995	0	0.0226460518195607	0
Desua25	0.002664774645018	0	5.284880444378359e-08	0	NA	0	NA	0	12.14	0	0.0135740106832475	0
Desua26	2.112005278434921e-10	0	2.7604960450844374e-07	0	NA	0	NA	0	8.840000000000003	0	0.0072691995861846	0
Desua27	2.4082635656251585e-08	0	1.3575784123531776e-06	0	NA	0	NA	0	10.879999999999995	0	0.0099079873178887	0
Desua28	0.0033805472477446	0	1.8491145965526808e-06	0	NA	1	NA	0	17.450000000000003	0	0.0239500672743129	0
Desua29	0.9121165674005928	1	2.1247274162305985e-06	0	NA	0	NA	1	27.66	0	0.0573569636025389	0
Desua3	7.662586380664506e-19	0	7.167729165757919e-08	0	NA	0	NA	0	4.010000000000005	0	0.0037921697979244	0
Desua30	4.5351127121338745e-08	0	2.4360713268833933e-07	0	NA	1	NA	0	8.239999999999995	0	0.0228449864432948	0
Desua31	4.284213772850029e-10	0	1.5130889607917197e-07	0	NA	0	NA	0	12.060000000000002	0	0.0165510211728187	0
Desua32	5.4907120328930015e-16	0	3.688586787120585e-07	0	NA	0	NA	1	0.4899999999999949	0	0.006688959246401	0
Desua33	1.8206014183612472e-10	0	2.1041924469500373e-07	0	NA	1	NA	0	2.2900000000000063	0	0.0049780391833883	0
Desua34	8.680770025851803e-14	0	7.533553514349478e-08	0	NA	0	NA	0	2.450000000000003	0	0.0031296202415405	0
Desua35	0.0005720951381035	0	2.60890610661e-05	0	NA	1	NA	0	27.709999999999997	0	0.1064765739712559	0
Desua36	0.5538228559121217	1	1.062089836523228e-06	0	NA	1	NA	1	28.05	0	0.1295998542756101	0
Desua37	0.0003073200084691	0	4.715147497336147e-06	0	NA	0	NA	0	5.8700000000000045	0	0.0253294072471393	0
Desua38	7.224476716688364e-10	0	3.688889137265505e-06	0	NA	0	NA	1	11.86	0	0.0842952755346726	0
Desua39	0.0169510407174905	0	1.06973247966e-05	0	NA	0	NA	0	12.829999999999998	0	0.0842952755346726	0
Desua4	1.996066635452776e-15	0	6.724924332957016e-06	0	NA	0	NA	0	3.569999999999993	0	0.0950558214985218	0
Desua40	1.62211843449375e-17	0	1.4101665612997747e-08	0	NA	0	NA	1	4.950000000000003	0	0.0073978950966436	0
Desua41	0.2510888760497846	0	4.443150373845128e-06	0	NA	0	NA	0	12.239999999999997	0	0.0303487137471743	0
Desua42	8.117500511436342e-14	0	4.3932189441875387e-08	0	NA	0	NA	1	2.530000000000001	0	0.0038449626315957	0
Desua43	0.0033322998244414	0	9.277181334255148e-08	0	NA	1	NA	0	6.25	0	0.0034350959638953	0
Desua44	1.6818409386541597e-12	0	1.4961464955831616e-08	0	NA	0	NA	0	7.019999999999996	0	0.0266802131363567	0
Desua45	1.25835881803594e-19	0	3.336398890496639e-07	0	NA	0	NA	1	0.3799999999999954	0	0.0035953785779564	0
Desua46	3.488680095660323e-13	0	1.2889080025502151e-08	0	NA	0	NA	0	7.010000000000005	0	0.003135759048716	0
Desua47	0.1143455437316616	0	1.7883000680285477e-07	0	NA	0	NA	1	7.560000000000002	0	0.019575992147934	0
Desua48	4.228390141369839e-09	0	1.1342341110776033e-07	0	NA	0	NA	0	2.569999999999993	0	0.0120322714534229	0
Desua49	6.698339937571521e-14	0	4.075333436048823e-06	0	NA	0	NA	0	5.159999999999997	0	0.0042597923161625	0
Desua5	1.3130910017672855e-05	0	7.338627256103791e-06	0	NA	0	NA	0	18.459999999999997	0	0.014980241028666	0
Desua50	5.545709115071723e-10	0	7.047538019833155e-08	0	NA	0	NA	0	1.0799999999999983	0	0.0048912902612754	0
Desua51	0.0635902549447255	0	1.1455532558102275e-06	0	NA	0	NA	0	4.019999999999996	0	0.0207193196500524	0
Desua52	1.0087578926091345e-07	0	3.014509530885334e-08	0	NA	1	NA	0	7.049999999999997	0	0.0030037512734192	0
Desua53	0.9380456887763572	1	1.714652285045304e-06	0	NA	0	NA	0	9.590000000000003	0	0.0351991286351878	0
Desua54	2.315033841826048e-16	0	5.65528956997241e-08	0	NA	0	NA	1	2.450000000000003	0	0.0018008287721539	0
Desua6	1.1016263023652345e-07	0	6.513894732051995e-06	0	NA	1	NA	0	23.489999999999995	0	0.0812742775454461	0
Desua7	2.175400363679956e-07	0	1.7344241598493684e-07	0	NA	0	NA	0	17.120000000000005	0	0.0100793785667814	0
Desua8	1.2336755837726856e-07	0	8.61555946585213e-08	0	NA	0	NA	0	19.180000000000007	0	0.0099441453170068	0
Desua9	0.625332955403065	1	0.000239957604208	0	NA	0	NA	0	14.310000000000002	0	0.0743409644554109	0
Dict1	6.838577569890195e-23	0	2.00053068510897e-06	0	NA	0	NA	0	4.010000000000005	0	0.0032512298045139	0
Dorm1	0.9999999973284716	1	0.9972357153892516	1	NA	0	NA	1	69.6	1	0.8979983569735165	1
Dorm2	0.9999999999467472	1	0.99891996383667	1	NA	1	NA	1	73.0	1	0.9545323119957934	1
Dorm3	0.9999922398339502	1	0.9993653893470764	1	NA	0	NA	1	69.85	1	0.3839536692566234	0
Dorm4	0.999999998494942	1	0.9934738278388976	1	NA	1	NA	1	66.24	1	0.9545323119957934	1
Dorm5	0.9999999987157138	1	0.993154764175415	1	NA	1	NA	1	73.73	1	0.9678982381347968	1
Edwa1	3.0226232469755365e-15	0	1.816766371121048e-06	0	NA	0	NA	0	6.760000000000005	0	0.0018338795841164	0
Eise1	0.9999977225036898	1	0.4223766326904297	0	NA	1	NA	0	53.42	1	0.6033285231915841	1
Eise2	0.9999987153626444	1	0.991609275341034	1	NA	0	NA	0	69.05	1	0.7242084966647274	1
Eise3	0.999999995488537	1	0.9831566214561462	1	NA	0	NA	0	63.97	1	0.6115041432135694	1
Eise4	0.9999982983560092	1	0.0999010279774665	0	NA	1	NA	1	49.4	1	0.1071926449622286	0
Elus1	6.6398708075026695e-18	0	5.611473625322105e-06	0	NA	0	NA	0	4.159999999999997	0	0.002903500397831	0
Elus10	1.3819202853767714e-10	0	1.03753882285e-05	0	NA	0	NA	1	13.200000000000005	0	0.0036814887484983	0
Elus2	9.769845943617648e-15	0	7.414086212520488e-06	0	NA	0	NA	1	4.680000000000007	0	0.0113457415619909	0
Elus3	0.9999999998095376	1	0.9134868383407592	1	NA	0	NA	1	61.1	1	0.57864569529663	1
Elus4	0.7784857957042107	1	0.1402624398469925	0	NA	1	NA	0	31.42	0	0.5833576047403125	1
Elus5	8.736593422384818e-17	0	1.9850042463076534e-06	0	NA	0	NA	1	4.659999999999997	0	0.0133959624914711	0
Elus6	0.7909119367878421	1	0.0495063662528991	0	NA	0	NA	0	37.58	0	0.4197779672299445	0
Elus7	1.0084433427138072e-15	0	1.18217221825e-05	0	NA	0	NA	0	3.1500000000000057	0	0.0036811516828049	0
Elus8	0.0629541466632989	0	6.281720288825454e-06	0	NA	0	NA	1	18.81	0	0.0512393652862866	0
Elus9	6.157752169077683e-14	0	1.95525499293e-05	0	NA	0	NA	1	5.859999999999999	0	0.0034539711225729	0
Erem2	6.197969620396008e-15	0	0.0001693671365501	0	NA	0	NA	1	8.290000000000006	0	0.0072828211724148	0
Erem3	0.9999999997519567	1	0.996912717819214	1	NA	0	NA	1	67.31	1	0.8659562631716861	1
Erem4	0.9999999708273494	1	0.9949415326118468	1	NA	1	NA	1	66.74	1	0.6577792171529168	1
Erem5	0.999999996954215	1	0.9919098019599916	1	NA	1	NA	1	75.76	1	0.6577792171529168	1
Erem6	0.9999999999995344	1	0.9994056224822998	1	NA	0	NA	1	72.21	1	0.5647643443263142	1
FCPU1	0.9999999994444364	1	0.3393154442310333	0	NA	0	NA	1	48.17	1	0.2185980296081591	0
FCPU2	0.9999999993448035	1	0.4051584601402282	0	NA	0	NA	1	53.78	1	0.3672984779625924	0
Ferm1	6.398324512124985e-17	0	2.34400449699e-05	0	NA	0	NA	0	3.6899999999999977	0	0.0157639906797243	0
Fibr1	1.191170221100439e-23	0	2.1852144982403843e-06	0	NA	0	NA	0	2.230000000000004	0	0.0098997095565671	0
Fibr2	5.667130087796672e-09	0	1.98121942958e-05	0	NA	0	NA	0	10.519999999999996	0	0.0016602548361769	0
Fibr3	5.2557793077820944e-14	0	1.231847022609145e-06	0	NA	0	NA	0	8.590000000000003	0	0.0071114658090742	0
Fibr4	1.1060597463389408e-05	0	3.942438127069181e-07	0	NA	0	NA	0	11.329999999999998	0	0.0042130163052236	0
Fibr5	1.1537117712444736e-10	0	2.128849018845358e-06	0	NA	0	NA	0	15.040000000000006	0	0.0402767171576568	0
Fibr6	1.870275372904437e-14	0	4.66327073809e-05	0	NA	0	NA	1	8.180000000000007	0	0.0176905017262789	0
Fire1	1.0031292027468338e-08	0	3.0061983125051484e-06	0	NA	0	NA	0	5.859999999999999	0	0.0030673627402108	0
FirmA1	2.665550203105063e-24	0	3.818027380475542e-06	0	NA	0	NA	0	0.7099999999999937	0	0.00436128630299	0
FirmA10	3.270309399922485e-23	0	9.201884836329556e-07	0	NA	0	NA	0	2.480000000000004	0	0.0089360866198068	0
FirmA100	1.8720911146316381e-22	0	2.978616748805507e-06	0	NA	0	NA	1	2.9000000000000057	0	0.0093880928436022	0
FirmA101	1.8130680767687952e-23	0	9.150178215122653e-08	0	NA	0	NA	0	4.010000000000005	0	0.0014000649343247	0
FirmA102	9.880630230389341e-24	0	5.701134497826389e-08	0	NA	0	NA	0	0.2600000000000051	0	0.0042149133966618	0
FirmA103	7.729290858694663e-26	0	1.5455342463610575e-06	0	NA	0	NA	0	0.4899999999999949	0	0.0057392031308563	0
FirmA104	1.90393035964987e-26	0	2.1693242757692133e-08	0	NA	0	NA	0	1.269999999999996	0	0.0065573946569687	0
FirmA105	6.12579900633577e-23	0	6.385228630279016e-07	0	NA	0	NA	0	1.2800000000000011	0	0.0331568535389504	0
FirmA106	4.600153761374872e-24	0	8.284979458039743e-07	0	NA	0	NA	0	0.2900000000000062	0	0.0313982036617794	0
FirmA107	4.701989953844921e-21	0	5.602649011393625e-08	0	NA	0	NA	0	1.7999999999999972	0	0.0069872677448307	0
FirmA108	4.6419216983252704e-24	0	5.263262181642858e-08	0	NA	0	NA	0	0.8900000000000006	0	0.0027256991886975	0
FirmA109	4.080011078145628e-26	0	2.9633647500304505e-06	0	NA	0	NA	0	0.6200000000000045	0	0.0021516479554833	0
FirmA11	2.797704800999724e-25	0	2.035113055853799e-07	0	NA	0	NA	1	0.8499999999999943	0	0.004885137126998	0
FirmA110	7.024048257490857e-20	0	2.425063712507836e-06	0	NA	0	NA	0	1.7099999999999935	0	0.0331568535389504	0
FirmA111	5.281650878875623e-25	0	3.17978745556502e-08	0	NA	0	NA	0	0.519999999999996	0	0.0017072772595688	0
FirmA112	3.901405054057909e-20	0	1.5233689509841497e-07	0	NA	0	NA	0	0.2800000000000011	0	0.0034901014637973	0
FirmA113	1.6433357790485222e-21	0	0.0004072129086125	0	NA	0	NA	0	4.680000000000007	0	0.0728928640089819	0
FirmA114	1.0564085777164168e-22	0	3.7733268527517794e-06	0	NA	0	NA	0	0.3499999999999943	0	0.0071437582875863	0
FirmA12	2.4713187348671688e-22	0	4.609731604432454e-06	0	NA	0	NA	0	1.6700000000000017	0	0.0028107265322417	0
FirmA14	1.4789312278395972e-18	0	9.051186111719289e-08	0	NA	0	NA	0	2.489999999999995	0	0.0149407703181508	0
FirmA16	4.864590979900721e-28	0	7.027315405139234e-07	0	NA	0	NA	0	1.9399999999999975	0	0.0066205203750277	0
FirmA18	2.1110640750136767e-20	0	3.623938482633093e-06	0	NA	0	NA	0	8.909999999999997	0	0.0029552056813805	0
FirmA19	2.910281566885155e-17	0	2.533250835767831e-07	0	NA	0	NA	0	4.930000000000007	0	0.0033972337540192	0
FirmA2	1.4032506544186285e-18	0	3.87552718166e-05	0	NA	0	NA	1	1.6299999999999957	0	0.0158408308807548	0
FirmA20	4.370279989292436e-16	0	0.0122009012848138	0	NA	0	NA	1	3.9599999999999937	0	0.3032236785738177	0
FirmA21	1.4676123745108628e-21	0	2.1003872063829482e-07	0	NA	0	NA	1	1.4300000000000068	0	0.0012257873063691	0
FirmA24	2.860685833053904e-20	0	8.91423624125e-05	0	NA	0	NA	0	2.75	0	0.0326578635149263	0
FirmA25	3.194425413546106e-18	0	2.2522091569499025e-07	0	NA	0	NA	1	1.6800000000000068	0	0.0069872677448307	0
FirmA26	6.486482214638877e-22	0	7.61562716888875e-07	0	NA	0	NA	0	0.730000000000004	0	0.0037196495811841	0
FirmA27	1.783202203777234e-16	0	1.0590545116428984e-06	0	NA	0	NA	0	4.010000000000005	0	0.0081569546991788	0
FirmA28	7.755195498734154e-22	0	4.071079729328631e-06	0	NA	0	NA	0	1.0999999999999943	0	0.0069180101503057	0
FirmA29	1.756535804787499e-18	0	0.0106415059417486	0	NA	0	NA	0	6.819999999999993	0	0.0434791069788305	0
FirmA30	5.980067917367879e-26	0	5.56968927867274e-07	0	NA	0	NA	0	1.7000000000000028	0	0.0069872677448307	0
FirmA31	5.943079489503705e-22	0	3.906188226210361e-07	0	NA	0	NA	0	2.6099999999999994	0	0.0045787270628855	0
FirmA32	7.058853543184795e-24	0	1.0570570907475485e-07	0	NA	0	NA	0	1.4399999999999975	0	0.0023086321323924	0
FirmA33	9.061100517120094e-23	0	1.342055270470155e-06	0	NA	0	NA	0	2.430000000000007	0	0.0064227500444063	0
FirmA34	2.199097636624526e-19	0	1.0755418600183476e-07	0	NA	0	NA	0	4.700000000000003	0	0.0022606000452735	0
FirmA35	4.435919510352081e-25	0	2.992489100961393e-07	0	NA	0	NA	0	1.3100000000000025	0	0.002936070079069	0
FirmA36	7.192605866554907e-22	0	7.76454689912e-05	0	NA	0	NA	0	1.9599999999999935	0	0.0072821940664629	0
FirmA37	2.74135795982457e-24	0	1.426291760253662e-07	0	NA	0	NA	0	0.5400000000000063	0	0.0039631405622062	0
FirmA38	1.8810627062850406e-20	0	3.3966166768095725e-08	0	NA	0	NA	0	2.010000000000005	0	0.0012257873063691	0
FirmA39	1.626882415837846e-18	0	1.4129993530787033e-07	0	NA	0	NA	0	1.269999999999996	0	0.0009621390107233	0
FirmA40	4.103673261900075e-22	0	1.35934515128e-05	0	NA	0	NA	0	2.010000000000005	0	0.0034539711225729	0
FirmA41	2.4761512295810936e-24	0	1.913254408236753e-07	0	NA	0	NA	0	1.5699999999999932	0	0.0027407699135019	0
FirmA42	2.773543491147992e-18	0	2.0772013158421032e-06	0	NA	0	NA	0	1.0999999999999943	0	0.0619505373408601	0
FirmA43	1.1096285861993016e-17	0	3.141244064863713e-07	0	NA	0	NA	0	3.7099999999999937	0	0.0017835008111679	0
FirmA44	9.512730924554144e-26	0	3.622442363848677e-06	0	NA	0	NA	0	0.9099999999999966	0	0.0035791157078869	0
FirmA45	4.180871537114046e-20	0	2.075732027151389e-06	0	NA	0	NA	0	1.7800000000000011	0	0.0054633476895758	0
FirmA46	3.8916760654180756e-26	0	1.704584406070353e-06	0	NA	0	NA	0	1.5300000000000011	0	0.0188066900094124	0
FirmA47	2.3462482967207424e-16	0	4.066058863827493e-06	0	NA	0	NA	1	6.390000000000001	0	0.0163005378974125	0
FirmA48	6.83333052917741e-26	0	7.616600896653836e-07	0	NA	0	NA	0	1.269999999999996	0	0.0035791157078869	0
FirmA49	1.0100192800056352e-23	0	4.635971890820656e-06	0	NA	0	NA	0	2.730000000000004	0	0.0029051182290387	0
FirmA5	1.1500334659082648e-24	0	2.369815348401972e-07	0	NA	0	NA	0	1.4599999999999935	0	0.0020186687534078	0
FirmA50	1.4039039157571591e-16	0	1.7342866840408533e-06	0	NA	0	NA	0	1.6899999999999975	0	0.0037196495811841	0
FirmA51	1.040053286105172e-20	0	0.0008560943533666	0	NA	0	NA	0	6.689999999999998	0	0.0298830166748342	0
FirmA52	1.5214719338628594e-18	0	8.147982555328782e-08	0	NA	0	NA	1	2.450000000000003	0	0.0035558868802204	0
FirmA53	1.80079665367979e-24	0	1.3671144927229761e-07	0	NA	0	NA	0	1.3799999999999957	0	0.0042963919277296	0
FirmA54	5.6968904084451925e-24	0	6.53375238357512e-08	0	NA	0	NA	0	1.0699999999999932	0	0.0020186687534078	0
FirmA55	6.021273373218589e-24	0	4.149723736190936e-06	0	NA	0	NA	0	1.5999999999999943	0	0.0069901219787438	0
FirmA56	2.425245879022659e-22	0	4.993984816792363e-07	0	NA	0	NA	1	1.4399999999999975	0	0.0224542877931922	0
FirmA57	2.0133174370215364e-25	0	5.514241934179154e-07	0	NA	0	NA	0	0.7199999999999989	0	0.0027256991886975	0
FirmA58	6.5048480818532764e-21	0	7.177735596997081e-07	0	NA	0	NA	0	4.609999999999999	0	0.0058863620054519	0
FirmA59	1.5496318209680255e-25	0	7.849644134694245e-07	0	NA	0	NA	0	0.6099999999999994	0	0.0012257873063691	0
FirmA6	2.2804084413459855e-22	0	2.024688257051821e-07	0	NA	0	NA	0	2.9599999999999937	0	0.0030270246796374	0
FirmA60	1.5073030939867034e-22	0	1.2768288115694304e-06	0	NA	0	NA	0	3.870000000000005	0	0.0026010492383672	0
FirmA61	1.0696899834767851e-22	0	5.026383860240458e-06	0	NA	0	NA	0	1.3700000000000043	0	0.0127195602748603	0
FirmA62	7.308961079987517e-17	0	2.376714519414236e-06	0	NA	0	NA	0	4.079999999999998	0	0.0015847542504424	0
FirmA63	7.00910835028355e-21	0	1.01667383205e-05	0	NA	0	NA	0	2.1200000000000045	0	0.0201783075376104	0
FirmA64	7.468581550083721e-25	0	3.061043571506161e-06	0	NA	0	NA	0	1.5499999999999972	0	0.0044217063501723	0
FirmA65	1.638753749717957e-23	0	2.841736659320304e-07	0	NA	0	NA	0	1.3599999999999994	0	0.0041701064620295	0
FirmA66	1.9325618420296e-24	0	1.13119031084e-05	0	NA	0	NA	0	1.2900000000000065	0	0.0186034577470831	0
FirmA67	3.722441725830852e-19	0	6.118874011917796e-07	0	NA	0	NA	0	1.6800000000000068	0	0.0047820900334886	0
