	K04069	K04759	K00275	K06990	K05919	K09141	K18707	K07137	K05601	K17828	K21636	K00254	K03737	K07146	K00526	K01589	K00176	K02275	K01647	K06886	K01061	K01677	K01772	K02257	K02259	K01599	K00228	K00658	K01895	K02274	K00362	K03635	K00632	K04063	K00627	K07586	K00164	K00383	K00457	K00867	gbdt prob	LR	LR prob
RS_GCF_014643455.1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9490754	1	0.9649895402653257
RS_GCF_011927825.1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0.9490754	1	0.9698960530262323
GB_GCA_002256005.1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	0	0	0	0	1	0	1	1	1	1	0.93610257	1	0.9432551526803966
GB_GCA_003241875.1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0.92247117	1	0.9803188006019403
GB_GCA_025056155.1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	0	0.9368031	1	0.9105085501867642
RS_GCF_015354055.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0.8854538	1	0.8511714530013799
GB_GCA_020693225.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0.8854538	1	0.8511714530013799
GB_GCA_002422985.1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0.9589797	1	0.9086250993861485
GB_GCA_020692215.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0.8854538	1	0.8511714530013799
RS_GCF_016464365.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0.941582	1	0.9343367412157862
RS_GCF_022014495.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	0.94892395	1	0.9273934776875282
RS_GCF_006385875.1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0.9490754	1	0.9490007574221104
GB_GCA_003248865.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0.93276507	1	0.9019972550770726
RS_GCF_014117445.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.93276507	1	0.8873100044947579
GB_GCA_023413015.1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0.95940024	1	0.973997988936173
GB_GCA_020249025.1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	1	0	0.88308686	1	0.9492926832256102
GB_GCA_019454625.1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	0	1	1	0	1	1	0	0	0.8261966	1	0.873539414242381
GB_GCA_013911755.1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.85885465	1	0.7891582539476014
RS_GCF_014199685.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9630471	1	0.9749369059637049
GB_GCA_016793845.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0.9526884	1	0.9450385030361295
RS_GCF_003634215.1	1	1	1	0	0	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.8358214	1	0.8312114982046139
RS_GCF_019204005.1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0.93752575	1	0.9609551959817249
GB_GCA_002375465.1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9630471	1	0.9801306302228829
RS_GCF_020092905.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.93276507	1	0.8873100044947579
RS_GCF_000342165.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.94892395	1	0.943692375953646
RS_GCF_023674425.1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9490754	1	0.940896144059305
RS_GCF_001890385.1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0.8400179	1	0.9265450561081792
RS_GCF_900199185.1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9713338465581697
RS_GCF_021391395.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.94892395	1	0.943692375953646
RS_GCF_001421785.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
GB_GCA_913776045.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0.9582807	1	0.9643425512696108
GB_GCA_016937575.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9647047	1	0.9481205956703838
RS_GCF_020707215.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0.9394977	1	0.9698277058487553
RS_GCF_014842075.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
RS_GCF_004135605.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9630471	1	0.9749369059637049
RS_GCF_001425385.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9630471	1	0.9749369059637049
RS_GCF_004341505.2	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9630471	1	0.9749369059637049
RS_GCF_001421965.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9630471	1	0.9749369059637049
RS_GCF_001421715.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9490754	1	0.9262187927512309
RS_GCF_022664395.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9647047	1	0.9481205956703838
RS_GCF_001421245.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9630471	1	0.9749369059637049
GB_GCA_003946805.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9647047	1	0.9481205956703838
RS_GCF_022664465.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9490754	1	0.9262187927512309
GB_GCA_003240755.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9490754	1	0.9262187927512309
RS_GCF_001421355.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9647047	1	0.9481205956703838
RS_GCF_001619955.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9647047	1	0.9481205956703838
GB_GCA_913777295.1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	1	0	0.8430969	1	0.8063633652508149
RS_GCF_022664435.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9647047	1	0.9481205956703838
GB_GCA_913776855.1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9647047	1	0.9693648679055997
RS_GCF_005144715.1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0.93752575	1	0.9609551959817249
RS_GCF_001421765.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9647047	1	0.9481205956703838
GB_GCA_913775795.1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	0	1	1	0	1	0	1	0	0.9173974	1	0.8167583827937802
RS_GCF_002351485.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.94892395	1	0.943692375953646
RS_GCF_014199325.1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.94892395	1	0.9296575036057888
RS_GCF_006346325.1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9713338465581697
GB_GCA_913775315.1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	0	0.92060065	1	0.8992163763595324
RS_GCF_024496245.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0.93610257	1	0.9011680912052588
GB_GCA_023418595.1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9713338465581697
RS_GCF_902506605.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
RS_GCF_000786205.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
GB_GCA_025153455.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.94892395	1	0.943692375953646
RS_GCF_001555965.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0.96550727	1	0.9444084335654439
RS_GCF_014334115.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.93276507	1	0.8873100044947579
RS_GCF_011057975.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0.941582	1	0.9240881838625757
RS_GCF_003171655.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.96550727	1	0.960627673231552
GB_GCA_002707985.1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0.96642506	1	0.9749285353116257
GB_GCA_018122655.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.94892395	1	0.943692375953646
RS_GCF_019351405.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.94892395	1	0.943692375953646
RS_GCF_014199335.1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9713338465581697
RS_GCF_004361835.1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9490754	1	0.940896144059305
GB_GCA_019635455.1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.96550727	1	0.9505929829955745
RS_GCF_001721295.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9630471	1	0.9749369059637049
RS_GCF_024211275.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9647047	1	0.9481205956703838
RS_GCF_002797435.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
GB_GCA_024666595.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0.9453479	1	0.948992416346918
RS_GCF_007833215.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9490754	1	0.9262187927512309
RS_GCF_020177055.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9490754	1	0.9262187927512309
RS_GCF_001557215.1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0.9490754	1	0.9380190838352843
GB_GCA_002280565.1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0.9024296	1	0.8849020640726011
GB_GCA_902826325.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0.94208306	1	0.9417283048124999
GB_GCA_017744835.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9630471	1	0.9749369059637049
RS_GCF_021513175.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9490754	1	0.9262187927512309
RS_GCF_021043375.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9490754	1	0.9262187927512309
RS_GCF_014199255.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
RS_GCF_004792695.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
RS_GCF_001428865.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9490754	1	0.9262187927512309
RS_GCF_000712135.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9490754	1	0.9262187927512309
RS_GCF_002002925.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
RS_GCF_002796605.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
RS_GCF_004792685.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
GB_GCA_019635515.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
RS_GCF_012927115.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
RS_GCF_001591025.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9630471	1	0.9749369059637049
GB_GCA_023390675.1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0.90258646	1	0.9281986380874617
GB_GCA_004173185.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0	0.9647047	1	0.9570910701189322
GB_GCA_023400405.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.9630471	1	0.9749369059637049
RS_GCF_002127225.1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.94892395	1	0.9296575036057888
RS_GCF_011761945.1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.94892395	1	0.9296575036057888
GB_GCA_017418975.1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.94892395	1	0.9296575036057888
RS_GCF_013416555.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
RS_GCF_005503355.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
RS_GCF_014196745.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
RS_GCF_014204495.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
GB_GCA_023445495.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	0.9277524	1	0.9053691574729251
RS_GCF_014489075.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
RS_GCF_000282895.1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9328133	1	0.961635167555279
RS_GCF_000935025.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
RS_GCF_018449795.1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0.94892395	1	0.9019820204548715
RS_GCF_003096275.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
GB_GCA_913777625.1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9328133	1	0.961635167555279
RS_GCF_000226955.1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9328133	1	0.961635167555279
RS_GCF_002091475.1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.95437586	1	0.9733264556545969
RS_GCF_900114095.1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9328133	1	0.961635167555279
RS_GCF_001598435.1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9328133	1	0.961635167555279
RS_GCF_012650175.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9453479	1	0.9639253326443818
GB_GCA_913774285.1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.9328133	1	0.961635167555279
RS_GCF_001650735.1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.95437586	1	0.9733264556545969
GB_GCA_023426225.1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0.9453479	1	0.9341205765409977
RS_GCF_011927635.1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0.95437586	1	0.9733264556545969
GB_GCA_017745215.1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.94892395	1	0.9296575036057888
RS_GCF_903643065.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0.8749172	1	0.7984160686221733
RS_GCF_903643035.1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	0	0.88797957	1	0.9659433356805136
RS_GCF_003345355.1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0.9490754	1	0.9490007574221104
RS_GCF_903644135.1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	0	0.8445285	1	0.8536175246443896
RS_GCF_002288825.1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0.94892395	1	0.943692375953646
